source_video_id,ranking_rank,ranking_group,ranking_lang,ranking_seed_tag,ranking_author,ranking_description,ranking_views,ranking_likes,ranking_comments,ranking_shares,ranking_saves,ranking_duration_s,ranking_ER%_(save+share+cmt)/views,ranking_save_rate%,ranking_cmt_collected,ranking_video_url,video_original_file,video_account_name,video_video_id,summary_cut_count,summary_estimated_video_end_time,summary_avg_cut_duration,summary_median_cut_duration,summary_min_cut_duration,summary_max_cut_duration,summary_short_cut_count_lt_0_5s,summary_short_cut_ratio_lt_0_5s,summary_avg_people_count,summary_max_people_count,summary_no_person_count,summary_one_person_count,summary_two_person_count,summary_three_plus_person_count,summary_no_person_ratio,summary_one_person_ratio,summary_two_person_ratio,summary_three_plus_person_ratio,summary_closeup_count,summary_medium_count,summary_full_group_count,summary_wide_count,summary_no_person_shot_count,summary_closeup_ratio,summary_medium_ratio,summary_full_group_ratio,summary_wide_ratio,summary_no_person_shot_ratio,summary_dominant_shot_size,summary_dominant_people_bucket,summary_first_cut_duration,summary_first_cut_people_count,summary_first_cut_shot_size,summary_first_3s_cut_count,summary_first_3s_avg_cut_duration,summary_first_3s_closeup_ratio,summary_first_3s_one_person_ratio,summary_first_3s_two_plus_ratio,summary_hook_pattern_flag,script_language,script_transcript_ko,script_hook_text_ko,script_dialogue_grammar_tags,script_romance_trope_tags,script_hook_type,script_story_type,script_has_transcript,cut_cut_id,cut_start_time,cut_end_time,cut_duration,yolo_people_count_raw,yolo_people_count_filtered,yolo_max_person_height_ratio,yolo_max_person_width_ratio,yolo_max_person_area_ratio,yolo_max_confidence,yolo_avg_confidence,yolo_shot_size_yolo,analysis_match_status,crawl_date,crawl_batch_id,market,tag_version,classifier_model,tag_confidence,human_reviewed,content_type,hook_modality,visual_hook_type,male_lead_type,setting,narration_form,general_reason
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,1,0.0,0.667,0.667,4,1,0.9945,0.4099,0.4077,0.5877,0.5877,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,2,0.667,2.967,2.3,1,1,0.9928,0.8615,0.8553,0.7492,0.7492,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,3,2.967,6.3,3.333,2,2,0.7437,0.5865,0.4362,0.8265,0.7241,medium_shot,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,4,6.3,7.2,0.9,1,1,0.9745,0.8834,0.8609,0.658,0.658,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,5,7.2,9.4,2.2,1,1,0.7679,0.9109,0.6995,0.7201,0.7201,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,6,9.4,12.333,2.933,1,1,0.9526,0.8953,0.8528,0.8351,0.8351,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,7,12.333,13.3,0.967,2,2,0.724,0.6216,0.4501,0.8334,0.7901,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,8,13.3,14.267,0.967,1,1,0.9618,0.9284,0.8929,0.6906,0.6906,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,9,14.267,15.1,0.833,1,1,0.9575,0.9695,0.9283,0.8758,0.8758,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
7653144870491524373,1,EN,EN,verticaldrama,trendyrama0,"she hired him to act as her missing fiancé, not knowing he is her real fiancé, an obsessive and psychotic one.",773700,103900,408,4303,38200,60,5.546,4.937,0,https://www.tiktok.com/@trendyrama0/video/7653144870491524373,trendyrama0 - 7653144870491524373.mp4,trendyrama0,7653144870491524373,42,60.0,1.429,1.133,0.567,3.333,0,0.0,1.024,2,6,29,7,0,0.1429,0.6905,0.1667,0.0,33,2,1,0,6,0.7857,0.0476,0.0238,0.0,0.1429,close_up_or_upper_body,1_one_person,0.667,1,close_up_or_upper_body,3,2.1,0.6667,0.6667,0.3333,closeup_hook,en,"난 록스타야, 난 록스타라고","난 록스타야, 난 록스타라고",secret_lie_or_reveal|power_money_or_status,secret_identity_or_hidden_truth|obsessive_devotion|contract_or_fake_relationship,identity_reveal_hook,secret_reveal_betrayal_drama,yes,10,15.1,17.667,2.567,3,2,0.9563,0.9886,0.9454,0.7032,0.6357,close_up_or_upper_body,ranking+summary+transcript+cut_yolo,2026-07-06,batch_260706_full100,EN,v2.1,claude-sonnet-5,0.55,false,drama_clip,mixed,,dominant_possessive|dangerous_forbidden,entertainment_idol,dialogue_only,
